"platName","compname","avg_revenue","投资期限","注册资金","自动投标","债权转让","资金托管","投标保障","保障模式","担保机构","业务类型","xingzhi","考察报告","risk_capital","user_capital","if_tuoguan","platId","allPlatPin","problem_time","online_tine","re_capital","origin","待收金额","涉及人数","event"
"多多智富","ddzf",NA,"1月标(60.0%)、天标(30.0%)等","1000万元","支持","随时","无托管","VIP保本保息","非融资性担保公司、风险准备金(300万元)",NA,"房贷(50%)、银行过桥(50%)","民营系","2015.10.28深圳多多智富参观考察报告【盈灿咨询】2015-10-28",NA,NA,0,545,"duoduozhifu","2016.04","2014.03","1000.00万元","广东","NA","NA","停业"
"多好贷","dhd",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2574,"duohaodai","2015.08","2015.06","1000.00万元","湖南","NA","NA","提现困难"
"多好贷（赣）","dhd1",NA,"4-6月标(28.0%)、1月标(8.0%)","2000万元","支持",NA,"无托管","逾期30天本息垫付","P2P",NA,"个人信用贷(84%)、房贷(16%)","民营系",NA,NA,NA,0,2621,"duohaodai1",NA,NA,NA,NA,NA,NA,"1"
"多了口贷","dlkd","12%","2月标(25.0%)、1月标(25.0%)等","10000万元","支持","随时","无托管","VIP本息保障","平台垫付",NA,"个人信用贷(10%)、车贷(80%)、房贷(10%)","民营系",NA,NA,NA,0,1717,"duolekoudai",NA,NA,NA,NA,NA,NA,"1"
"多利宝","dlb1",NA,"3月标(80.0%)、1月标(10.0%)等","500万元","不支持","不可转让","无托管","保本","平台垫付、风险准备金(500万元)",NA,"个人信用贷(10%)、车贷(30%)、房贷(10%)、供应链(50%)",NA,NA,NA,NA,0,3566,"duolibao",NA,NA,NA,NA,NA,NA,"1"
"多利宝理财（鄂）","dlblc",NA,NA,"10000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3494,"duolibaolicai",NA,NA,NA,NA,NA,NA,"1"
"多利金服","dljf",NA,NA,"5000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,4176,"duolijinfu","2016.03","2013.09","5000.00万元","北京","NA","NA","跑路"
"多美贷","dmd","11%","1月标(40.0%)、2月标(30.0%)等","1000万元","支持","不可转让","无托管","保本保息、回购保障","融资性担保公司",NA,"车贷(30%)、房贷(70%)","民营系",NA,NA,NA,0,1793,"duomeidai",NA,NA,NA,NA,NA,NA,"1"
"多肉理财","drlc","7%",NA,"1000万元","不支持","不可转让","用户资金托管托管机构为新浪支付",NA,NA,NA,NA,NA,NA,NA,"新浪支付",1,4041,"duoroulicai",NA,NA,NA,NA,NA,NA,"1"
"多维度","dwd1","10%","天标(100.0%)","1000万元","不支持","不可转让","用户资金托管托管机构为汇付天下",NA,"非融资性担保公司",NA,NA,NA,NA,NA,"汇付天下",1,3770,"duoweidu",NA,NA,NA,NA,NA,NA,"1"
"多益贷","dyd",NA,NA,"2800万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2534,"duoyidai","2015.07","2014.1","2800.00万元","浙江","NA","NA","停业"
"多赢","dy","14.09%","1月标(52.5%)、3月标(10.2%)等","5000万元","支持","不可转让","用户资金托管托管机构为易宝支付有限公司","本息保障","非融资性担保公司、平台垫付、风险准备金(2175.91万元)",NA,"房贷(100%)","民营系","2015.6.18深圳多赢金融参观考察报告【盈灿咨询】2015-06-18",NA,"易宝支付有限公司",1,2189,"duoying",NA,NA,NA,NA,NA,NA,"1"
"鄂汇金融","ehjr","15.15%","3月标(36.7%)、4-6月标(24.8%)等","2000万元","支持","随时","用户资金托管托管机构为汇付天下","100％本息保障","风险准备金(200万元)","武汉嘉瑞投资担保有限公司(承保10000万)、湖北天诚投资担保有限公司(承保10000万)","个人信用贷(1%)、车贷(11%)、房贷(6%)","民营系",NA,NA,"汇付天下",1,475,"ehuijinrong",NA,NA,NA,NA,NA,NA,"1"
